source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,phot_g_mean_mag,bp_rp,radial_velocity,radial_velocity_error,phot_variable_flag,teff_val,a_g_val
5.1119E+17,26.58291389,0.360118195,61.01761647,0.376852809,0.360077279,0.518228237,20.167881,1.668333,,,NOT_AVAILABLE,,
5.11176E+17,26.93928193,0.162126932,60.97824403,0.211112731,-0.040106607,0.273236049,19.217379,1.8965054,,,NOT_AVAILABLE,,
5.11192E+17,26.56541367,1.175623191,61.04640378,1.325484872,-1.503270163,1.924001674,20.659025,1.8555145,,,NOT_AVAILABLE,,
5.1119E+17,26.57047008,0.253114049,60.99643785,0.288313666,-0.760343539,0.405748403,19.85924,2.1618023,,,NOT_AVAILABLE,,
5.11183E+17,26.54538529,0.089341028,60.89598307,0.106614726,0.353067599,0.150283743,18.288887,1.807661,,,NOT_AVAILABLE,,
5.112E+17,26.98056618,0.290633689,61.00005672,0.354951733,1.076827814,0.495068761,19.979649,1.6851978,,,NOT_AVAILABLE,,
5.11188E+17,26.79799028,0.033885696,60.97367914,0.041665852,0.27178093,0.056259147,16.586527,1.4554205,,,NOT_AVAILABLE,4423.25,
5.11188E+17,26.91945095,0.012891708,61.00313081,0.016546651,1.085777143,0.021499296,14.021094,1.0960598,,,NOT_AVAILABLE,5005.83,
5.112E+17,26.99072025,0.344721651,61.0320241,0.392836926,0.005733501,0.553070639,20.071882,1.7798538,,,NOT_AVAILABLE,,
5.1119E+17,26.62900571,0.535777117,60.99096509,0.559608708,0.520748405,0.82089418,20.637817,1.6362133,,,NOT_AVAILABLE,,
5.11183E+17,26.54313765,0.140267055,60.89721908,0.174358012,-0.21446628,0.246650602,18.960321,1.942543,,,NOT_AVAILABLE,,
5.11191E+17,26.47537007,0.493383669,61.01549564,0.478238829,1.194495153,0.685946124,20.413763,1.8027191,,,NOT_AVAILABLE,,
5.112E+17,27.01645676,0.035736019,61.07435209,0.042605689,0.291221103,0.063453609,16.836449,1.3922176,,,NOT_AVAILABLE,4528.0034,
5.11188E+17,26.72734473,0.118326235,60.98610312,0.117773793,-0.016852944,0.186508286,18.394444,,,,NOT_AVAILABLE,,
5.11188E+17,26.82495124,0.276096787,60.97291982,0.330926581,1.120681904,0.408903087,19.941088,1.6709061,,,NOT_AVAILABLE,,
5.11188E+17,26.8496491,0.200125571,60.98447132,0.237922713,0.464291093,0.313302823,19.407278,1.8235798,,,NOT_AVAILABLE,,
5.11187E+17,26.70648094,1.071081318,60.95437612,1.363515717,-0.256595702,1.465649114,20.967459,1.9333344,,,NOT_AVAILABLE,,
5.11189E+17,26.7104063,0.209274273,61.05391813,0.229992701,0.763387926,0.310001999,18.948668,1.8750973,,,NOT_AVAILABLE,,
5.1119E+17,26.58449581,0.04697068,60.97882604,0.056592627,0.09774066,0.081702858,17.30753,1.6843796,,,NOT_AVAILABLE,,
5.11202E+17,27.0547424,0.24869524,61.10747244,0.292394977,0.110847259,0.458931584,19.694067,1.817749,,,NOT_AVAILABLE,,
5.11188E+17,26.90754006,0.179444824,60.98561018,0.218406538,-0.080439493,0.286764001,19.415838,1.8596821,,,NOT_AVAILABLE,,
5.1119E+17,26.5601813,1.107095273,61.04270821,1.112983668,-0.985008989,1.534430466,20.99036,1.3149452,,,NOT_AVAILABLE,,
5.11188E+17,26.81187432,0.018865676,60.97265097,0.023879245,0.351395586,0.033040792,15.456012,0.94483566,,,NOT_AVAILABLE,5234.3335,
5.112E+17,27.03896664,0.129174317,61.07551449,0.153213391,0.372357345,0.230480448,18.973892,1.8490562,,,NOT_AVAILABLE,,
5.11188E+17,26.88333166,0.357877511,60.98517731,0.416171289,0.155950231,0.554826619,20.25644,1.7862415,,,NOT_AVAILABLE,,
5.11176E+17,26.95337429,0.155715312,60.98419852,0.195205186,0.225977497,0.25061938,19.139212,2.0235577,,,NOT_AVAILABLE,,
5.11187E+17,26.69917575,0.208933063,60.95193255,0.247075942,0.49579462,0.36598665,19.389046,1.777031,,,NOT_AVAILABLE,,
5.1119E+17,26.6068591,0.152174956,61.01811668,0.175528321,-0.164795917,0.249450639,18.99308,2.139555,,,NOT_AVAILABLE,,
5.11192E+17,26.61252804,0.138269411,61.02731942,0.148948624,-0.259221901,0.214819424,18.95378,1.7130184,,,NOT_AVAILABLE,,
