source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmdec,phot_g_mean_mag,bp_rp,radial_velocity,radial_velocity_error,phot_variable_flag,teff_val,a_g_val
511238929441730816,26.249747724806028,0.02433863842327821,61.08103947789411,0.027407883901016408,0.3278371036559378,0.041416557218729465,-1.2502464371722417,-0.5217863659991806,15.872139,1.3045855,,,"NOT_AVAILABLE",4916.5425,
511240681788558080,26.495125595387087,0.014127746196753244,61.1878947540639,0.016264779729982973,0.31301717557313435,0.0238630136844937,-1.2758782646804647,0.0670922000500809,14.020422,0.96523476,,,"NOT_AVAILABLE",5327.5,2.204
511236215022399616,26.154227771627248,0.04885270611600824,61.08349741994348,0.05193515052717396,0.4110247957291469,0.080176129314739,-2.0298724944292044,-2.82366503237977,17.249796,1.5687122,,,"NOT_AVAILABLE",,
511238173527489920,26.348362086173307,0.01503785887733092,61.0754186716114,0.017030761532361622,0.3165034679127192,0.025990520710949313,-1.1598425670536259,-0.26754003804829807,14.707058,0.88732624,,,"NOT_AVAILABLE",5505.6665,
511240681788557824,26.47604619818733,0.025496025098096682,61.18972574041681,0.029515242510062465,0.309518391052904,0.04042200539065301,-1.1433560030967787,-0.15940981434269147,15.80453,1.0784636,,,"NOT_AVAILABLE",4980.5,
511219069511711360,26.72571408393045,0.018078218711240393,61.268407881353035,0.021839230092821748,0.32308749606643755,0.031833334106509084,0.7487896854043502,-0.3587577215239082,15.406176,1.3718519,,,"NOT_AVAILABLE",4872.0,
511217901280607744,26.62071153221614,0.013936783693845765,61.27028460623764,0.0164082561075767,0.30699076398278347,0.024405478694008408,-0.669217787693221,-0.2538086726273897,14.195295,0.9568739,,,"NOT_AVAILABLE",5334.495,2.1712
511219172590926848,26.741893301579427,0.02635889243492148,61.26743008149754,0.031026564688201877,0.3119580885170159,0.04532499805575679,-2.112043820258156,-1.0836022800349383,16.110146,1.5410595,,,"NOT_AVAILABLE",4420.3335,
511219103871450496,26.690278464329996,0.014552247387029779,61.26852624647615,0.017878950542638182,0.29612184464469066,0.026006037510993868,-1.0225141963068107,-0.1861206233273229,14.644346,1.0588789,,,"NOT_AVAILABLE",5149.17,
511216664330107392,26.702034449664353,0.031769482653264985,61.20018704695531,0.037906825652660195,0.2746563603234802,0.05460745726840144,-1.2228354295984265,-0.29914357567402594,16.489616,1.2652388,,,"NOT_AVAILABLE",4878.738,
511241712580840448,26.415064151120998,0.017137782523635816,61.21642123302678,0.02198824963623969,0.31867574565155155,0.029938580001003537,-1.1224110826541973,-0.17641767129851577,12.238015,1.0313158,,,"NOT_AVAILABLE",5148.8267,
511217214085915648,26.56355623357438,0.021216769302918007,61.20873271174711,0.026778020749138674,0.34104700432261187,0.03840707888949277,-1.0548890899022005,-0.07758286345060424,15.609594,1.0278358,,,"NOT_AVAILABLE",5142.625,
511214052989995264,26.971163643702145,0.011903290388089773,61.18944540988366,0.014295246987226062,0.2973249800956208,0.02053562721689234,-1.1211424056950614,-0.1526101762418154,13.926944,0.8109751,,,"NOT_AVAILABLE",5935.67,
511225013738251520,26.844777090616166,0.021895329089208552,61.350689938097446,0.027372899350416206,0.30619800625340354,0.037949120981558546,-1.1724410834349377,-0.3687937392347141,10.682309,0.7883997,,,"NOT_AVAILABLE",5867.0,
511244908035989632,26.285172496871752,0.01745699757699768,61.262969779453734,0.02011400557665937,0.3371569919406969,0.026998388926224914,-1.0977551063688435,-0.18317700555317856,15.037447,0.9337435,,,"NOT_AVAILABLE",5355.575,
511217076646970240,26.623696163292305,0.01136866740482315,61.20082542021383,0.013248916965390234,0.32258282399788535,0.019184086197245792,-1.1523764406292014,-0.2564731425265318,13.213484,0.88734055,,,"NOT_AVAILABLE",5447.84,
511241575141886848,26.376872950150688,0.030816292356934328,61.205185646616414,0.037926945787857644,0.499771334771077,0.04937804116536518,-0.7916986649193423,-6.243552548562283,16.207506,1.5190372,,,"NOT_AVAILABLE",4389.453,
511219133930804864,26.709609849279982,0.016789121503830183,61.26448490173254,0.0202284473975327,0.3392461988916717,0.028645194680133036,-1.1573904659955239,-0.03643793777066978,14.539421,0.9720154,,,"NOT_AVAILABLE",5327.375,
511221509053134848,26.96295491019649,0.01799624696341432,61.2617275066624,0.022314026723957114,0.2687428956700012,0.03190660645038697,-1.0050670751462516,-0.20434081078830896,15.326734,1.2136621,,,"NOT_AVAILABLE",4894.3335,
511214808904237184,26.948307206604788,0.027284329221826685,61.19202496112575,0.03146846672661106,0.27046988832234464,0.04606003010920751,-1.4027791224959096,-0.2230919184348441,16.17736,1.2000008,,,"NOT_AVAILABLE",4916.0,
511246282425448320,26.13973950212569,0.043632059579375805,61.337640398844265,0.0533208074383,0.45245931075559676,0.07311354156258047,-2.0731926050368625,1.9438750616893365,17.165766,1.8360863,,,"NOT_AVAILABLE",,
511221474693367296,27.023509723466066,0.012029390643144539,61.288871886161395,0.014933407395456557,0.3299344972739447,0.020568473450505338,-0.834565895343147,-0.26403748298311824,13.877787,0.8365774,,,"NOT_AVAILABLE",5628.0,
